,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,335,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
1,336,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
2,337,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
3,338,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
4,247,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
5,248,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
6,249,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
7,246,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
8,247,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
9,248,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LIVRAMENTO,"R$ 10.852,00"
10,47,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 8.750,00"
11,249,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 5.570,00"
12,422,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 11.820,00"
13,423,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 11.820,00"
14,462,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 13.460,00"
15,569,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 24.000,00"
16,725,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LIVRAMENTO,"R$ 58.730,00"
17,371,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
18,372,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
19,373,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
20,374,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
21,267,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
22,268,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
23,269,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
24,267,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
25,268,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,01"
26,269,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LIVRAMENTO,"R$ 5.541,09"
27,366,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 155.024,37"
28,440,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 184.216,96"
29,485,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 203.831,56"
30,581,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 254.923,08"
31,353,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 146.778,83"
32,449,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 181.955,34"
33,495,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 202.303,73"
34,580,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 244.875,08"
35,265,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 148.052,96"
36,343,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LIVRAMENTO,"R$ 179.384,93"
