,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,181,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
1,182,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
2,183,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
3,184,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
4,131,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
5,132,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
6,133,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
7,133,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
8,134,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
9,135,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOM JESUS,"R$ 7.862,00"
10,57,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM JESUS,"R$ 10.000,00"
11,484,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM JESUS,"R$ 14.900,00"
12,646,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOM JESUS,"R$ 35.884,00"
13,173,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
14,174,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
15,175,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
16,176,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
17,128,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
18,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
19,130,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOM JESUS,"R$ 3.104,50"
