,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,874,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
1,875,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
2,876,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
3,877,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
4,640,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
5,641,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
6,642,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
7,645,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
8,646,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
9,647,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAMPINA GRANDE,"R$ 332.316,00"
10,169,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 81.498,86"
11,186,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 577.290,64"
12,738,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 62.630,00"
13,840,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 139.940,00"
14,903,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 676.090,00"
15,909,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAMPINA GRANDE,"R$ 1.788.668,00"
16,791,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
17,792,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
18,793,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
19,794,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
20,576,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
21,577,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
22,578,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
23,572,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
24,573,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
25,574,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAMPINA GRANDE,"R$ 31.184,55"
26,884,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.160.533,69"
27,885,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.755.692,55"
28,886,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.155.616,45"
29,887,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 5.197.201,73"
30,884,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 2.992.428,88"
31,885,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 3.709.583,89"
32,886,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.124.433,60"
33,887,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,CAMPINA GRANDE,"R$ 4.992.349,97"
