,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,790,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
1,791,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
2,792,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
3,793,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
4,579,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
5,580,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
6,581,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
7,581,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
8,582,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
9,583,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALHANDRA,"R$ 40.618,00"
10,106,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 20.500,00"
11,14,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 680,00"
12,15,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 680,00"
13,100,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 2.280,00"
14,452,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 13.000,00"
15,709,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 52.710,00"
16,873,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALHANDRA,"R$ 225.581,00"
17,747,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
18,748,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
19,749,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
20,750,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
21,541,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
22,542,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
23,543,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
24,535,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,32"
25,536,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
26,537,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALHANDRA,"R$ 16.476,40"
27,743,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ALHANDRA,"R$ 402.481,92"
