,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,666,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
1,667,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
2,668,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
3,669,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
4,487,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
5,488,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
6,489,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
7,489,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
8,490,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
9,491,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PILAR,"R$ 26.672,00"
10,123,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 26.629,00"
11,129,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 28.295,27"
12,451,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 13.000,00"
13,695,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 47.220,00"
14,842,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 143.511,00"
15,852,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PILAR,"R$ 168.000,00"
