,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,294,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
1,295,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
2,296,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
3,297,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
4,217,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
5,218,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
6,219,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
7,215,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
8,216,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
9,217,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BOA VENTURA,"R$ 9.976,00"
10,211,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VENTURA,"R$ 4.320,00"
11,284,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VENTURA,"R$ 6.270,00"
12,285,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VENTURA,"R$ 6.270,00"
13,343,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VENTURA,"R$ 8.310,00"
14,659,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BOA VENTURA,"R$ 38.643,00"
15,49,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
16,50,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
17,51,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
18,52,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
19,41,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
20,42,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
21,43,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
22,38,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
23,39,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,88"
24,40,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BOA VENTURA,"R$ 1.754,94"
25,178,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 98.414,87"
26,245,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 116.947,33"
27,291,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 129.401,19"
28,382,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 161.834,04"
29,162,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 93.180,32"
30,252,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 115.511,58"
31,299,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 128.429,44"
32,379,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 155.455,24"
33,124,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 93.989,19"
34,175,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 113.879,79"
35,407,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 204.899,01"
36,481,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 247.303,18"
37,196,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.978,22"
38,197,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.978,22"
39,198,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.978,22"
40,679,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 63.844,94"
41,147,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.968,37"
42,148,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.968,37"
43,418,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 28.972,55"
44,432,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 29.956,44"
45,197,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.968,37"
46,198,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.968,37"
47,199,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 14.968,37"
48,563,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,BOA VENTURA,"R$ 38.452,50"
