,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,356,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
1,357,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
2,358,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
3,359,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
4,262,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
5,263,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
6,264,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
7,261,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
8,262,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
9,263,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NAZAREZINHO,"R$ 11.672,00"
10,389,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NAZAREZINHO,"R$ 10.000,00"
11,458,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NAZAREZINHO,"R$ 13.000,00"
12,617,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NAZAREZINHO,"R$ 30.030,00"
13,766,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NAZAREZINHO,"R$ 79.231,00"
14,861,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NAZAREZINHO,"R$ 187.000,00"
15,536,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
16,537,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
17,538,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
18,539,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
19,392,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
20,393,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
21,394,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
22,395,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,09"
23,396,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
24,397,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,NAZAREZINHO,"R$ 8.335,12"
25,249,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 117.971,05"
26,327,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 140.186,14"
27,367,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 155.117,89"
28,464,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 193.992,35"
29,239,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 111.696,31"
30,333,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 138.465,05"
31,377,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 153.949,89"
32,460,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 186.345,99"
33,174,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NAZAREZINHO,"R$ 112.665,90"
