,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,412,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
1,413,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
2,414,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
3,415,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
4,302,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
5,303,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
6,304,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
7,300,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
8,301,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
9,302,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CALDAS BRANDÃO,"R$ 13.428,00"
10,85,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 16.250,00"
11,102,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 18.438,84"
12,58,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 1.380,00"
13,59,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 1.380,00"
14,505,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 17.670,00"
15,537,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 20.000,00"
16,796,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 91.806,00"
17,74,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CALDAS BRANDÃO,"R$ 1.988,65"
