,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,234,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
1,235,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
2,236,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
3,237,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
4,173,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
5,174,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
6,172,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 9.068,00"
7,390,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 18.136,00"
8,276,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 6.160,00"
9,562,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 23.260,00"
10,102,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
11,103,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
12,104,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
13,105,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
14,75,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
15,233,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 4.706,44"
16,69,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
17,70,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,22"
18,71,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.353,27"
19,184,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 101.022,04"
20,255,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 120.045,44"
21,302,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 132.830,66"
22,392,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 166.121,27"
23,175,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 95.648,81"
24,264,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 118.571,67"
25,308,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 131.831,75"
26,389,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 159.573,47"
27,129,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 96.479,07"
28,183,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 116.896,66"
29,416,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 210.327,13"
30,492,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 253.854,69"
31,205,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.375,02"
32,206,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.375,02"
33,207,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.375,02"
34,691,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 67.908,96"
35,155,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.364,91"
36,156,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.364,91"
37,446,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 30.750,04"
38,452,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 31.146,80"
39,207,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.364,91"
40,208,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.364,91"
41,209,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 15.364,91"
42,578,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 39.471,17"
43,108,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,IGARACY,"R$ 240.500,00"
44,46,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,IGARACY,"R$ 36.746,70"
45,115,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
46,116,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
47,178,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
48,179,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
49,180,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
50,181,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
51,204,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
52,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
53,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
54,207,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IGARACY,"R$ 8.508,80"
55,409,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 36.960,00"
56,171,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 3.130,00"
57,172,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 3.130,00"
58,457,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 15.650,00"
59,656,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IGARACY,"R$ 40.290,00"
60,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
61,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
62,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
63,63,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
64,59,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
65,60,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
66,61,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
67,62,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
68,30,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,28"
69,31,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IGARACY,"R$ 2.084,33"
70,212,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 112.266,99"
71,285,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 134.766,94"
72,310,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 139.743,73"
73,411,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 178.736,07"
74,225,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 108.667,00"
75,282,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 123.532,91"
76,337,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 141.159,94"
77,371,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 153.232,64"
78,226,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 103.704,60"
79,275,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 117.170,16"
80,293,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 121.222,97"
81,412,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 161.232,43"
82,152,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
83,153,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
84,469,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 70.426,99"
85,231,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
86,232,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
87,233,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.955,09"
88,545,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 42.092,51"
89,93,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 10.244,50"
90,220,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 18.007,33"
91,438,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IGARACY,"R$ 40.753,44"
92,91,20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA,IGARACY,"R$ 85.319,50"
