,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,646,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
1,647,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
2,648,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
3,649,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
4,471,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
5,472,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
6,473,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
7,474,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
8,475,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
9,476,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AROEIRAS,"R$ 25.662,00"
10,83,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 16.086,67"
11,407,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 11.190,00"
12,500,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 17.400,00"
13,591,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 27.040,00"
14,657,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AROEIRAS,"R$ 38.152,00"
15,739,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
16,740,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
17,741,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
18,742,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
19,535,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
20,536,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
21,537,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
22,529,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
23,530,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,69"
24,531,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AROEIRAS,"R$ 15.738,81"
25,720,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 369.503,78"
26,767,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 439.084,88"
27,787,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 485.848,49"
28,818,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 607.614,36"
29,713,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 349.850,32"
30,769,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 433.694,22"
31,790,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 482.195,07"
32,820,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 583.664,77"
33,611,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 352.887,23"
34,680,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 427.567,64"
35,813,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 769.304,11"
36,836,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AROEIRAS,"R$ 928.512,85"
