,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,794,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
1,795,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
2,853,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 81.924,00"
3,582,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
4,583,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
5,584,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
6,584,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
7,585,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
8,586,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARUNA,"R$ 40.962,00"
9,120,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 26.000,00"
10,149,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 3.040,00"
11,150,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 3.040,00"
12,467,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 13.890,00"
13,710,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 52.860,00"
14,882,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARUNA,"R$ 255.907,00"
