,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,739,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
1,740,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
2,741,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
3,742,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
4,539,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
5,540,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
6,541,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
7,543,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
8,544,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
9,545,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADO DE SÃO FÉLIX,"R$ 33.564,00"
10,55,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 9.500,00"
11,455,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 13.000,00"
12,733,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 61.270,00"
13,774,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 81.516,00"
14,763,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
15,764,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
16,765,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
17,766,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
18,556,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
19,582,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 39.465,70"
20,550,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,79"
21,551,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
22,552,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADO DE SÃO FÉLIX,"R$ 19.732,85"
23,578,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 252.857,75"
24,647,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 300.473,29"
25,685,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 332.473,66"
26,752,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 415.800,89"
27,568,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 239.408,55"
28,654,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 296.784,37"
29,693,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 329.974,32"
30,746,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 399.411,80"
31,473,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 241.486,77"
32,544,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 292.591,84"
33,734,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 526.447,94"
34,772,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 635.397,24"
35,518,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.483,61"
36,519,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.483,61"
37,520,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.483,61"
38,826,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 168.338,31"
39,523,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.458,30"
40,524,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.458,30"
41,749,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 76.967,22"
42,750,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 76.989,44"
43,564,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.458,30"
44,565,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADO DE SÃO FÉLIX,"R$ 38.458,30"
