,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,360,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
1,361,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
2,362,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
3,363,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
4,265,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
5,266,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
6,267,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
7,264,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
8,265,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
9,266,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DAMIÃO,"R$ 11.704,00"
10,136,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DAMIÃO,"R$ 2.900,00"
11,137,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DAMIÃO,"R$ 2.900,00"
12,491,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
13,492,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
14,493,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
15,494,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
16,359,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
17,360,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
18,361,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
19,361,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
20,362,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
21,363,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DAMIÃO,"R$ 7.248,42"
22,276,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 124.782,12"
23,346,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 148.279,79"
24,386,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 164.072,82"
25,489,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 205.192,52"
26,261,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 118.145,10"
27,350,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 146.459,36"
28,394,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 162.838,17"
29,486,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 197.104,66"
30,188,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 119.170,68"
31,252,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 144.390,38"
32,501,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 259.795,43"
33,570,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 313.560,55"
34,284,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 18.991,18"
35,285,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DAMIÃO,"R$ 18.991,18"
