,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,278,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
1,279,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
2,280,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
3,281,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
4,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
5,206,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
6,207,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
7,203,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
8,204,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
9,205,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHÃO,"R$ 9.556,00"
10,53,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 8.750,00"
11,4,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 360,00"
12,5,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 360,00"
13,265,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 5.800,00"
14,433,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 12.000,00"
15,469,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 13.930,00"
16,491,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHÃO,"R$ 15.970,00"
17,41,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHÃO,"R$ 1.623,60"
18,42,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHÃO,"R$ 1.623,60"
19,43,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHÃO,"R$ 1.623,60"
20,44,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHÃO,"R$ 1.623,60"
