,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,797,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
1,798,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
2,799,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
3,800,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
4,585,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
5,586,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
6,587,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
7,587,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
8,588,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
9,589,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIO TINTO,"R$ 48.524,00"
10,110,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 21.250,00"
11,193,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 3.960,00"
12,194,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 3.960,00"
13,767,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 79.250,00"
14,781,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 85.800,00"
15,895,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIO TINTO,"R$ 419.019,00"
16,767,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
17,768,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
18,769,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
19,770,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
20,557,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
21,558,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
22,559,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
23,553,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
24,554,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,55"
25,555,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIO TINTO,"R$ 19.925,61"
26,733,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 393.268,61"
27,778,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 467.324,90"
28,797,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,RIO TINTO,"R$ 517.096,16"
