,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,662,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
1,663,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
2,664,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
3,665,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
4,484,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
5,485,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
6,486,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
7,486,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
8,487,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
9,488,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),DONA INÊS,"R$ 26.446,00"
10,1,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,DONA INÊS,"R$ 11.525,20"
11,107,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 20.500,00"
12,159,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 3.330,00"
13,461,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 13.300,00"
14,665,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 40.390,00"
15,762,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 75.000,00"
16,863,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,DONA INÊS,"R$ 191.921,00"
17,643,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
18,644,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
19,645,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
20,646,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
21,466,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
22,467,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
23,468,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
24,465,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
25,466,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,46"
26,467,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,DONA INÊS,"R$ 11.857,56"
27,560,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 240.493,96"
28,630,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 285.781,25"
29,670,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 316.213,13"
30,738,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 395.469,75"
31,544,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 227.702,35"
32,637,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 282.272,74"
33,676,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 313.839,83"
34,734,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 379.882,02"
35,450,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 229.678,96"
36,527,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 278.285,19"
37,722,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 500.706,58"
38,763,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 604.328,65"
39,502,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 36.601,90"
40,503,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 36.601,90"
41,504,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 36.601,90"
42,814,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 153.931,80"
43,505,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 36.577,83"
44,506,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 36.577,83"
45,729,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 69.563,62"
46,738,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,DONA INÊS,"R$ 73.203,80"
