,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,569,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
1,570,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
2,571,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
3,572,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
4,416,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
5,417,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
6,418,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
7,418,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
8,419,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
9,420,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PAULISTA,"R$ 19.846,00"
10,188,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 3.810,00"
11,189,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 3.810,00"
12,595,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 27.510,00"
13,769,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PAULISTA,"R$ 79.525,00"
14,651,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
15,652,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
16,653,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
17,654,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
18,472,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
19,473,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
20,474,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
21,471,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,55"
22,472,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
23,473,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,PAULISTA,"R$ 12.104,57"
24,476,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PAULISTA,"R$ 199.031,78"
