,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,810,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
1,811,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
2,812,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
3,813,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
4,594,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
5,595,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
6,596,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
7,596,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
8,597,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
9,598,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ALAGOA GRANDE,"R$ 52.228,00"
10,154,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 42.750,00"
11,165,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 75.373,00"
12,210,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 4.290,00"
13,413,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 11.460,00"
14,414,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 11.460,00"
15,789,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 88.250,00"
16,806,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 103.000,00"
17,894,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ALAGOA GRANDE,"R$ 404.976,00"
18,667,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
19,668,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
20,669,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
21,670,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
22,481,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
23,482,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
24,483,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
25,478,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
26,479,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.950,92"
27,480,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ALAGOA GRANDE,"R$ 12.951,00"
