,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,47,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
1,48,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
2,49,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
3,50,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
4,29,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
5,30,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
6,31,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
7,29,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
8,30,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
9,31,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AREIA DE BARAÚNAS,"R$ 4.362,00"
10,81,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA DE BARAÚNAS,"R$ 1.710,00"
11,82,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA DE BARAÚNAS,"R$ 1.710,00"
12,277,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA DE BARAÚNAS,"R$ 6.170,00"
13,278,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AREIA DE BARAÚNAS,"R$ 6.170,00"
14,13,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 46.528,76"
15,28,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 55.290,56"
16,37,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 61.176,88"
17,93,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 76.512,20"
18,12,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 44.053,95"
19,30,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 54.611,78"
20,44,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 60.719,10"
21,89,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 73.496,41"
22,9,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 44.436,35"
23,24,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 53.840,29"
24,131,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 96.872,55"
25,184,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 116.920,44"
26,18,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 7.081,43"
27,19,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 7.081,43"
28,20,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 7.081,43"
29,413,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,AREIA DE BARAÚNAS,"R$ 27.468,53"
