,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,372,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
1,373,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
2,374,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
3,375,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
4,274,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
5,275,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
6,276,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
7,273,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
8,274,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
9,275,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JOCA CLAUDINO,"R$ 12.040,00"
10,5,0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 65.694,62"
11,87,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JOCA CLAUDINO,"R$ 16.250,00"
12,481,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JOCA CLAUDINO,"R$ 14.740,00"
13,482,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JOCA CLAUDINO,"R$ 14.740,00"
14,627,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JOCA CLAUDINO,"R$ 31.800,00"
15,837,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JOCA CLAUDINO,"R$ 137.000,00"
16,214,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
17,215,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
18,216,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
19,217,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
20,155,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
21,156,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
22,157,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
23,152,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
24,153,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,45"
25,154,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JOCA CLAUDINO,"R$ 3.513,48"
26,153,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 92.947,91"
27,223,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 110.450,87"
28,262,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 122.212,56"
29,359,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 152.844,11"
30,145,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 88.004,11"
31,230,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 109.094,88"
32,275,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 121.295,16"
33,354,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 146.819,63"
34,110,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 88.768,05"
35,159,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 107.553,73"
36,380,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 193.516,84"
37,458,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 233.565,45"
38,181,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 14.146,18"
39,182,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 14.146,18"
40,183,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 14.146,18"
41,653,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JOCA CLAUDINO,"R$ 59.741,01"
