,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,682,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
1,683,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
2,684,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
3,685,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
4,499,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
5,500,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
6,501,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
7,502,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
8,503,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
9,504,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),JURU,"R$ 28.276,00"
10,31,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 7.800,00"
11,169,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 3.480,00"
12,171,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 3.480,00"
13,566,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 23.960,00"
14,642,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 34.500,00"
15,782,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 86.050,00"
16,867,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,JURU,"R$ 194.558,00"
17,619,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
18,620,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
19,621,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
20,622,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
21,448,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
22,449,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
23,450,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
24,447,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
25,448,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
26,449,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,JURU,"R$ 10.985,31"
27,572,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 247.014,26"
28,641,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 293.529,41"
29,680,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 324.785,99"
30,745,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 406.191,84"
31,559,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 233.875,88"
32,647,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 289.925,73"
33,687,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,JURU,"R$ 322.348,68"
