,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,818,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
1,819,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
2,820,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
3,821,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
4,600,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
5,601,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
6,602,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
7,602,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
8,603,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
9,604,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LAGOA SECA,"R$ 58.508,00"
10,32,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 8.061,01"
11,95,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 16.750,00"
12,46,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 1.230,00"
13,48,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 1.230,00"
14,675,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 42.000,00"
15,751,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 68.950,00"
16,891,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LAGOA SECA,"R$ 339.054,00"
17,735,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
18,736,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
19,737,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
20,738,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
21,532,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
22,533,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
23,534,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
24,528,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LAGOA SECA,"R$ 15.639,77"
25,769,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 440.803,08"
26,802,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 523.810,53"
27,815,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 579.604,31"
28,837,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 724.859,38"
29,760,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 417.357,30"
30,801,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 517.379,72"
31,816,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 575.239,24"
32,838,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 696.288,48"
33,676,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 420.980,21"
34,728,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 510.070,92"
35,835,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LAGOA SECA,"R$ 917.748,69"
