,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,497,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
1,498,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
2,499,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
3,500,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
4,363,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
5,364,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
6,365,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
7,363,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
8,364,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
9,365,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ITATUBA,"R$ 16.714,00"
10,119,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 25.500,00"
11,250,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 5.700,00"
12,251,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 5.700,00"
13,264,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 5.800,00"
14,438,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 12.000,00"
15,586,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 26.780,00"
16,707,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ITATUBA,"R$ 52.536,00"
17,483,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
18,484,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
19,485,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
20,486,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
21,353,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
22,354,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
23,355,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
24,355,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
25,356,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
26,357,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ITATUBA,"R$ 7.098,82"
27,416,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 173.689,28"
28,495,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 206.396,61"
29,536,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 228.373,35"
30,627,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 285.615,75"
31,404,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 164.450,95"
32,499,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 203.862,70"
33,541,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 226.661,06"
34,626,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 274.357,95"
35,308,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 165.878,48"
36,393,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 200.982,84"
37,618,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 361.619,75"
38,686,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 436.457,57"
39,389,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.434,59"
40,390,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.434,59"
41,391,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.434,59"
42,771,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 108.266,70"
43,370,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.417,20"
44,371,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.417,20"
45,620,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 48.517,37"
46,648,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 52.869,18"
47,414,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.417,20"
48,415,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.417,20"
49,416,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 26.417,20"
50,743,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ITATUBA,"R$ 67.863,59"
51,103,8790 - APOIO A ALFABETIZACAO E A EDUCACAO DE JOVENS E ADULTOS,ITATUBA,"R$ 139.821,08"
