,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,577,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
1,578,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
2,579,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
3,580,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
4,422,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
5,423,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
6,424,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
7,424,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
8,425,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
9,426,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOBRADO,"R$ 20.526,00"
10,12,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOBRADO,"R$ 6.000,00"
11,465,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOBRADO,"R$ 13.670,00"
12,620,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOBRADO,"R$ 30.590,00"
13,686,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOBRADO,"R$ 45.500,00"
14,631,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
15,632,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
16,633,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
17,634,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
18,457,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
19,458,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
20,459,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
21,456,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,66"
22,457,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
23,458,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOBRADO,"R$ 11.577,69"
24,432,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 180.886,42"
25,515,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 214.949,06"
26,554,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 237.833,86"
27,643,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 297.450,74"
28,426,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 171.265,27"
29,518,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 212.310,13"
30,560,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 236.053,16"
31,641,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 285.726,51"
32,328,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 172.751,97"
33,414,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 209.310,92"
34,635,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 376.604,13"
35,696,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 454.542,99"
36,414,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 27.529,95"
37,415,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 27.529,95"
38,416,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SOBRADO,"R$ 27.529,95"
