,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,210,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
1,211,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
2,212,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
3,213,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
4,155,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
5,156,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
6,157,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
7,154,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
8,155,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
9,156,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAJAZEIRINHAS,"R$ 8.726,00"
10,178,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 3.660,00"
11,180,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 3.660,00"
12,340,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 8.050,00"
13,374,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 9.950,00"
14,391,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 10.000,00"
15,379,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.706,83"
16,380,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAJAZEIRINHAS,"R$ 5.706,83"
