,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,189,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
1,190,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
2,191,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
3,192,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
4,137,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
5,138,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
6,139,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
7,139,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
8,140,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
9,141,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),TENÓRIO,"R$ 8.180,00"
10,105,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 20.436,33"
11,113,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 22.500,00"
12,67,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 1.500,00"
13,69,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 1.500,00"
14,358,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 9.070,00"
15,385,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 10.000,00"
16,641,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,TENÓRIO,"R$ 34.486,00"
17,178,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
18,179,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
19,180,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
20,181,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
21,131,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
22,132,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
23,133,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
24,128,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
25,129,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,22"
26,130,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,TENÓRIO,"R$ 3.144,30"
27,82,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 74.078,06"
28,137,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 88.027,66"
29,173,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 97.399,55"
30,260,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 121.814,45"
31,76,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 70.137,93"
32,142,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 86.946,96"
33,180,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 96.670,39"
34,257,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 117.013,02"
35,61,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,TENÓRIO,"R$ 70.746,80"
