,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,25,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
1,26,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
2,27,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
3,28,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
4,14,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
5,15,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
6,16,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
7,14,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
8,15,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
9,16,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),VISTA SERRANA,"R$ 3.654,00"
10,134,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VISTA SERRANA,"R$ 2.830,00"
11,225,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VISTA SERRANA,"R$ 4.860,00"
12,226,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VISTA SERRANA,"R$ 4.860,00"
13,248,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,VISTA SERRANA,"R$ 5.544,00"
14,318,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 4.672,88"
15,17,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,22"
16,18,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,22"
17,19,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,22"
18,15,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,16"
19,16,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,22"
20,17,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,VISTA SERRANA,"R$ 1.168,22"
21,32,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,VISTA SERRANA,"R$ 57.696,24"
