,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,481,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
1,482,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
2,483,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
3,484,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
4,352,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
5,353,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
6,354,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
7,351,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
8,352,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
9,353,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),NOVA FLORESTA,"R$ 16.118,00"
10,419,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA FLORESTA,"R$ 11.600,00"
11,674,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,NOVA FLORESTA,"R$ 41.452,00"
12,285,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 127.112,83"
13,355,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 151.049,42"
14,397,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 167.139,66"
15,503,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 209.025,15"
16,270,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 120.351,88"
17,360,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 149.194,98"
18,410,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 165.879,74"
19,490,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,NOVA FLORESTA,"R$ 200.786,27"
