,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,597,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
1,598,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
2,599,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
3,600,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
4,437,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
5,438,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
6,439,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
7,439,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
8,440,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
9,441,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CUBATI,"R$ 21.868,00"
10,4,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 2.800,00"
11,92,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 16.500,00"
12,268,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 5.830,00"
13,269,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 5.830,00"
14,550,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 21.390,00"
15,846,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CUBATI,"R$ 158.586,00"
16,327,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CUBATI,"R$ 4.916,56"
