,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,465,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
1,466,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
2,467,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
3,468,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
4,341,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
5,342,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
6,343,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
7,340,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
8,341,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SOLEDADE,"R$ 15.568,00"
9,486,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOLEDADE,"R$ 15.170,00"
10,673,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SOLEDADE,"R$ 41.186,00"
11,435,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
12,436,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
13,437,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
14,438,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
15,317,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
16,318,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SOLEDADE,"R$ 6.441,87"
