,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,743,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
1,744,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
2,745,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
3,746,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
4,542,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
5,543,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
6,544,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
7,546,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
8,547,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
9,548,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),LUCENA,"R$ 33.732,00"
10,327,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 7.500,00"
11,534,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 20.000,00"
12,666,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 40.750,00"
13,853,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,LUCENA,"R$ 171.502,00"
14,423,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
15,424,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
16,425,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
17,426,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
18,307,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
19,308,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
20,309,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
21,308,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
22,309,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,19"
23,310,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,LUCENA,"R$ 6.081,21"
24,639,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 291.650,81"
25,701,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 346.571,44"
26,727,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 383.464,05"
27,785,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 479.592,45"
28,630,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 276.138,27"
29,705,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 342.316,58"
30,735,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 380.598,49"
31,780,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 460.688,92"
32,528,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,LUCENA,"R$ 278.535,28"
