,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,197,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
1,198,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
2,199,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
3,200,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
4,143,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
5,144,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
6,145,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
7,145,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
8,146,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
9,147,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),SALGADINHO,"R$ 8.362,00"
10,17,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 6.250,00"
11,74,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 1.550,00"
12,326,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,SALGADINHO,"R$ 7.500,00"
13,53,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 1.754,89"
14,54,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 1.754,89"
15,55,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 1.754,89"
16,56,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 1.754,89"
17,44,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 1.754,89"
18,124,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 3.017,15"
19,285,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 5.941,74"
20,285,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 5.941,74"
21,286,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 5.941,74"
22,287,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,SALGADINHO,"R$ 5.941,74"
23,105,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADINHO,"R$ 81.108,38"
24,167,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADINHO,"R$ 96.381,85"
25,211,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,SALGADINHO,"R$ 106.647,52"
