,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,348,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
1,349,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
2,350,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
3,351,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
4,256,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
5,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
6,258,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
7,255,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
8,256,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
9,257,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),AGUIAR,"R$ 11.462,00"
10,34,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 8.300,00"
11,54,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 9.043,89"
12,316,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 7.410,00"
13,317,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 7.410,00"
14,392,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 10.000,00"
15,473,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 14.080,00"
16,637,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,AGUIAR,"R$ 33.357,00"
17,427,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
18,428,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
19,429,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
20,430,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
21,311,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
22,312,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
23,313,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,AGUIAR,"R$ 6.204,28"
