,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,605,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
1,606,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
2,607,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
3,608,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
4,443,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
5,444,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
6,445,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
7,446,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),PRINCESA ISABEL,"R$ 22.074,00"
8,167,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 78.511,57"
9,90,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 2.010,00"
10,91,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 2.010,00"
11,289,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 6.500,00"
12,572,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 24.600,00"
13,721,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 56.410,00"
14,836,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,PRINCESA ISABEL,"R$ 133.082,00"
15,518,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PRINCESA ISABEL,"R$ 216.543,23"
16,585,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PRINCESA ISABEL,"R$ 257.320,37"
17,626,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PRINCESA ISABEL,"R$ 284.724,78"
18,711,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,PRINCESA ISABEL,"R$ 356.085,05"
