,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,533,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
1,534,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
2,535,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
3,536,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
4,389,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
5,390,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
6,391,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
7,391,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
8,392,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
9,393,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DOS CAVALOS,"R$ 18.338,00"
10,19,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 6.250,00"
11,279,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 6.210,00"
12,281,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 6.210,00"
13,379,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 10.000,00"
14,528,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 19.500,00"
15,531,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 19.900,00"
16,804,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 100.801,00"
17,347,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHO DOS CAVALOS,"R$ 5.195,56"
