,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,505,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
1,506,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
2,507,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
3,508,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
4,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
5,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
6,371,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
7,369,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
8,370,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
9,371,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),CAPIM,"R$ 16.872,00"
10,153,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAPIM,"R$ 3.120,00"
11,290,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAPIM,"R$ 6.500,00"
12,554,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,CAPIM,"R$ 22.320,00"
13,21,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
14,22,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
15,23,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
16,24,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
17,14,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
18,15,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
19,16,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
20,12,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,CAPIM,"R$ 938,95"
