,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,274,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
1,275,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
2,276,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
3,277,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
4,202,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
5,203,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
6,204,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
7,200,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
8,201,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
9,202,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ASSUNÇÃO,"R$ 9.508,00"
10,38,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 8.300,00"
11,0,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 210,00"
12,1,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 210,00"
13,190,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.820,00"
14,304,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 6.580,00"
15,313,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 7.350,00"
16,652,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ASSUNÇÃO,"R$ 37.383,00"
17,210,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
18,211,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
19,212,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
20,213,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
21,152,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
22,153,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
23,154,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
24,149,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
25,150,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,88"
26,151,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ASSUNÇÃO,"R$ 3.490,96"
27,179,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 98.796,16"
28,246,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 117.400,45"
29,292,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 129.901,69"
30,384,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 162.461,05"
31,165,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 93.541,33"
32,254,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 115.959,11"
33,301,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 128.927,04"
34,381,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 156.057,53"
35,125,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ASSUNÇÃO,"R$ 94.353,31"
