,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,845,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
1,846,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
2,847,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
3,848,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
4,619,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
5,620,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
6,624,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
7,625,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 75.250,00"
8,641,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MAMANGUAPE,"R$ 150.500,00"
9,252,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MAMANGUAPE,"R$ 5.730,00"
10,255,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MAMANGUAPE,"R$ 5.730,00"
11,817,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MAMANGUAPE,"R$ 115.320,00"
12,869,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MAMANGUAPE,"R$ 199.706,00"
13,597,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
14,598,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
15,599,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
16,600,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
17,434,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
18,435,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
19,436,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
20,435,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,34"
21,436,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
22,437,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MAMANGUAPE,"R$ 10.558,40"
23,823,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 634.062,84"
24,844,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 753.462,94"
25,853,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 833.700,32"
26,867,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 1.042.656,93"
27,822,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 600.337,82"
28,844,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 744.212,69"
29,854,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 827.439,40"
30,866,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MAMANGUAPE,"R$ 1.001.559,83"
