,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,862,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
1,863,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
2,864,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
3,865,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
4,631,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
5,632,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
6,633,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
7,635,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
8,636,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
9,637,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),BAYEUX,"R$ 125.384,00"
10,177,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 145.272,01"
11,184,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 302.199,35"
12,412,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 11.410,00"
13,688,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 45.780,00"
14,848,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 162.920,00"
15,905,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,BAYEUX,"R$ 768.682,00"
16,0,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAYEUX,"R$ 104,33"
17,1,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAYEUX,"R$ 104,33"
18,2,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,BAYEUX,"R$ 104,33"
