,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,678,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
1,679,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
2,680,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
3,681,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
4,496,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
5,497,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
6,498,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
7,499,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
8,500,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
9,501,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),MONTEIRO,"R$ 27.778,00"
10,141,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 34.674,97"
11,151,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 40.000,00"
12,544,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 20.470,00"
13,723,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 58.000,00"
14,864,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,MONTEIRO,"R$ 193.523,00"
15,775,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
16,776,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
17,777,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
18,778,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
19,563,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
20,564,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
21,565,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
22,559,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,79"
23,560,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
24,561,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,MONTEIRO,"R$ 21.500,81"
25,726,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 382.158,34"
26,772,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 454.122,42"
27,792,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 502.489,34"
28,822,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 628.423,58"
29,719,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 361.831,77"
30,773,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,MONTEIRO,"R$ 448.547,16"
