,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,529,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
1,530,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
2,531,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
3,532,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
4,386,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
5,387,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
6,388,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
7,387,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
8,388,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
9,389,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),ARARA,"R$ 17.632,00"
10,62,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 10.000,00"
11,373,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 9.890,00"
12,662,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,ARARA,"R$ 39.636,00"
13,431,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
14,432,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
15,433,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
16,434,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
17,314,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
18,315,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
19,316,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
20,315,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
21,316,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
22,317,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,ARARA,"R$ 6.407,73"
23,482,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 202.463,51"
24,561,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 240.589,36"
25,603,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 266.210,66"
26,687,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 332.932,27"
27,472,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 191.694,75"
28,566,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 237.635,62"
29,612,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 264.210,83"
30,685,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 319.809,51"
31,379,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 193.358,75"
32,461,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,ARARA,"R$ 234.278,65"
