,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,432,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
1,433,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
2,434,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
3,435,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
4,317,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
5,318,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
6,319,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
7,315,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
8,316,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
9,317,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),IMACULADA,"R$ 14.038,00"
10,71,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 12.054,20"
11,93,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 2.190,00"
12,94,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 2.190,00"
13,260,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 5.780,00"
14,262,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 5.800,00"
15,611,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 29.610,00"
16,854,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,IMACULADA,"R$ 172.618,00"
17,671,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
18,672,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
19,673,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
20,674,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
21,484,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
22,485,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
23,486,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
24,481,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,61"
25,482,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
26,483,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,IMACULADA,"R$ 13.085,65"
27,479,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 201.572,23"
28,558,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 239.530,20"
29,600,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 265.040,02"
30,683,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 331.466,63"
31,470,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 190.850,85"
32,561,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 236.589,49"
33,610,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 263.047,72"
34,681,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 318.401,62"
35,376,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 192.507,53"
36,456,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 233.247,29"
37,674,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 419.671,81"
38,724,0C33 - FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 506.523,59"
39,455,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 30.678,22"
40,456,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 30.678,22"
41,457,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 30.678,22"
42,805,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 134.053,17"
43,441,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 30.658,05"
44,442,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 30.658,05"
45,706,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 61.289,89"
46,707,0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB,IMACULADA,"R$ 61.356,44"
