,Unnamed: 0,Ação Orçamentária,Município,Valor Transferido
0,67,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
1,68,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
2,69,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
3,70,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
4,44,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
5,45,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
6,46,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
7,44,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
8,45,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
9,46,00PI - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE),RIACHO DE SANTO ANTÔNIO,"R$ 4.856,00"
10,99,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.280,00"
11,101,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.280,00"
12,318,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 7.440,00"
13,501,0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 17.440,00"
14,134,0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA,RIACHO DE SANTO ANTÔNIO,"R$ 2.590,64"
